Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[disease]	Characteristics[developmental stage]	Characteristics[individual]	Characteristics[age]	Unit [time unit]	Characteristics[sex]	Characteristics[organism part]	Material Type	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Protocol REF	Protocol REF	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Protocol REF	Protocol REF	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Protocol REF	Protocol REF	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Factor Value[developmental stage]	Factor Value[organism part]
1988sTS.Human.Testis.10w.Male	ERS2510173	SAMEA4689989	Homo sapiens	normal	10 week post conception	11727	10	week	male	testis	organism part	P-MTAB-75109	P-MTAB-75110	P-MTAB-75111	1988sTS.Human.Testis.10w.Male	RNA	SINGLE	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-75112	Lausanne Genomics Technology Facility	1988sTS.Human.Testis.10w.Male	sequencing assay	ERX2614348	1988sTS.Human.Testis.10w.Male.fastq.gz	1988sTS.Human.Testis.10w.Male.fastq.gz	ERR2598067	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/007/ERR2598067/ERR2598067.fastq.gz	P-MTAB-75114	P-MTAB-75113	1988sTS.Human.Testis.10w.Male.sorted.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6814/E-MTAB-6814.1988sTS.Human.Testis.10w.Male.sorted.bam	P-MTAB-75114	P-MTAB-75113	Human.CPM.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6814/E-MTAB-6814.processed.2.zip	P-MTAB-75114	P-MTAB-75113	Human.RPKM.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6814/E-MTAB-6814.processed.1.zip	10 week post conception	testis
2024sTSb.Human.Heart.10w.Male	ERS2510158	SAMEA4689974	Homo sapiens	normal	10 week post conception	11727	10	week	male	heart	organism part	P-MTAB-75109	P-MTAB-75110	P-MTAB-75111	2024sTSb.Human.Heart.10w.Male	RNA	SINGLE	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-75112	Lausanne Genomics Technology Facility	2024sTSb.Human.Heart.10w.Male	sequencing assay	ERX2614333	2024sTSb.Human.Heart.10w.Male.fastq.gz	2024sTSb.Human.Heart.10w.Male.fastq.gz	ERR2598052	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/002/ERR2598052/ERR2598052.fastq.gz	P-MTAB-75114	P-MTAB-75113	2024sTSb.Human.Heart.10w.Male.sorted.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6814/E-MTAB-6814.2024sTSb.Human.Heart.10w.Male.sorted.bam	P-MTAB-75114	P-MTAB-75113	Human.CPM.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6814/E-MTAB-6814.processed.2.zip	P-MTAB-75114	P-MTAB-75113	Human.RPKM.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6814/E-MTAB-6814.processed.1.zip	10 week post conception	heart
2025sTSb.Human.Liver.10w.Male	ERS2510167	SAMEA4689983	Homo sapiens	normal	10 week post conception	11727	10	week	male	liver	organism part	P-MTAB-75109	P-MTAB-75110	P-MTAB-75111	2025sTSb.Human.Liver.10w.Male	RNA	SINGLE	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-75112	Lausanne Genomics Technology Facility	2025sTSb.Human.Liver.10w.Male	sequencing assay	ERX2614342	2025sTSb.Human.Liver.10w.Male.fastq.gz	2025sTSb.Human.Liver.10w.Male.fastq.gz	ERR2598061	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/001/ERR2598061/ERR2598061.fastq.gz	P-MTAB-75114	P-MTAB-75113	2025sTSb.Human.Liver.10w.Male.sorted.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6814/E-MTAB-6814.2025sTSb.Human.Liver.10w.Male.sorted.bam	P-MTAB-75114	P-MTAB-75113	Human.CPM.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6814/E-MTAB-6814.processed.2.zip	P-MTAB-75114	P-MTAB-75113	Human.RPKM.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6814/E-MTAB-6814.processed.1.zip	10 week post conception	liver
2092sTS.Human.Heart.10w.Female	ERS2510159	SAMEA4689975	Homo sapiens	normal	10 week post conception	11791	10	week	female	heart	organism part	P-MTAB-75109	P-MTAB-75110	P-MTAB-75111	2092sTS.Human.Heart.10w.Female	RNA	SINGLE	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-75112	Lausanne Genomics Technology Facility	2092sTS.Human.Heart.10w.Female	sequencing assay	ERX2614334	2092sTS.Human.Heart.10w.Female.fastq.gz	2092sTS.Human.Heart.10w.Female.fastq.gz	ERR2598053	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/003/ERR2598053/ERR2598053.fastq.gz	P-MTAB-75114	P-MTAB-75113	2092sTS.Human.Heart.10w.Female.sorted.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6814/E-MTAB-6814.2092sTS.Human.Heart.10w.Female.sorted.bam	P-MTAB-75114	P-MTAB-75113	Human.CPM.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6814/E-MTAB-6814.processed.2.zip	P-MTAB-75114	P-MTAB-75113	Human.RPKM.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6814/E-MTAB-6814.processed.1.zip	10 week post conception	heart
2094sTS.Human.Liver.10w.Female	ERS2510168	SAMEA4689984	Homo sapiens	normal	10 week post conception	11791	10	week	female	liver	organism part	P-MTAB-75109	P-MTAB-75110	P-MTAB-75111	2094sTS.Human.Liver.10w.Female	RNA	SINGLE	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-75112	Lausanne Genomics Technology Facility	2094sTS.Human.Liver.10w.Female	sequencing assay	ERX2614343	2094sTS.Human.Liver.10w.Female.fastq.gz	2094sTS.Human.Liver.10w.Female.fastq.gz	ERR2598062	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/002/ERR2598062/ERR2598062.fastq.gz	P-MTAB-75114	P-MTAB-75113	2094sTS.Human.Liver.10w.Female.sorted.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6814/E-MTAB-6814.2094sTS.Human.Liver.10w.Female.sorted.bam	P-MTAB-75114	P-MTAB-75113	Human.CPM.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6814/E-MTAB-6814.processed.2.zip	P-MTAB-75114	P-MTAB-75113	Human.RPKM.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6814/E-MTAB-6814.processed.1.zip	10 week post conception	liver
2095sTS.Human.Ovary.10w.Female	ERS2510171	SAMEA4689987	Homo sapiens	normal	10 week post conception	11791	10	week	female	ovary	organism part	P-MTAB-75109	P-MTAB-75110	P-MTAB-75111	2095sTS.Human.Ovary.10w.Female	RNA	SINGLE	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-75112	Lausanne Genomics Technology Facility	2095sTS.Human.Ovary.10w.Female	sequencing assay	ERX2614346	2095sTS.Human.Ovary.10w.Female.fastq.gz	2095sTS.Human.Ovary.10w.Female.fastq.gz	ERR2598065	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/005/ERR2598065/ERR2598065.fastq.gz	P-MTAB-75114	P-MTAB-75113	2095sTS.Human.Ovary.10w.Female.sorted.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6814/E-MTAB-6814.2095sTS.Human.Ovary.10w.Female.sorted.bam	P-MTAB-75114	P-MTAB-75113	Human.CPM.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6814/E-MTAB-6814.processed.2.zip	P-MTAB-75114	P-MTAB-75113	Human.RPKM.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6814/E-MTAB-6814.processed.1.zip	10 week post conception	ovary
3653sTS.Human.Hindbrain.10w.Male	ERS2510162	SAMEA4689978	Homo sapiens	normal	10 week post conception	11950	10	week	male	hindbrain	organism part	P-MTAB-75109	P-MTAB-75110	P-MTAB-75111	3653sTS.Human.Hindbrain.10w.Male	RNA	SINGLE	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-75112	Lausanne Genomics Technology Facility	3653sTS.Human.Hindbrain.10w.Male	sequencing assay	ERX2614337	3653sTS.Human.Hindbrain.10w.Male.fastq.gz	3653sTS.Human.Hindbrain.10w.Male.fastq.gz	ERR2598056	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/006/ERR2598056/ERR2598056.fastq.gz	P-MTAB-75114	P-MTAB-75113	3653sTS.Human.Hindbrain.10w.Male.sorted.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6814/E-MTAB-6814.3653sTS.Human.Hindbrain.10w.Male.sorted.bam	P-MTAB-75114	P-MTAB-75113	Human.CPM.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6814/E-MTAB-6814.processed.2.zip	P-MTAB-75114	P-MTAB-75113	Human.RPKM.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6814/E-MTAB-6814.processed.1.zip	10 week post conception	hindbrain
3654sTS.Human.Liver.10w.Male	ERS2510169	SAMEA4689985	Homo sapiens	normal	10 week post conception	11950	10	week	male	liver	organism part	P-MTAB-75109	P-MTAB-75110	P-MTAB-75111	3654sTS.Human.Liver.10w.Male	RNA	SINGLE	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-75112	Lausanne Genomics Technology Facility	3654sTS.Human.Liver.10w.Male	sequencing assay	ERX2614344	3654sTS.Human.Liver.10w.Male.fastq.gz	3654sTS.Human.Liver.10w.Male.fastq.gz	ERR2598063	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/003/ERR2598063/ERR2598063.fastq.gz	P-MTAB-75114	P-MTAB-75113	3654sTS.Human.Liver.10w.Male.sorted.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6814/E-MTAB-6814.3654sTS.Human.Liver.10w.Male.sorted.bam	P-MTAB-75114	P-MTAB-75113	Human.CPM.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6814/E-MTAB-6814.processed.2.zip	P-MTAB-75114	P-MTAB-75113	Human.RPKM.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6814/E-MTAB-6814.processed.1.zip	10 week post conception	liver
3655sTS.Human.Testis.10w.Male	ERS2510174	SAMEA4689990	Homo sapiens	normal	10 week post conception	11950	10	week	male	testis	organism part	P-MTAB-75109	P-MTAB-75110	P-MTAB-75111	3655sTS.Human.Testis.10w.Male	RNA	SINGLE	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-75112	Lausanne Genomics Technology Facility	3655sTS.Human.Testis.10w.Male	sequencing assay	ERX2614349	3655sTS.Human.Testis.10w.Male.fastq.gz	3655sTS.Human.Testis.10w.Male.fastq.gz	ERR2598068	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/008/ERR2598068/ERR2598068.fastq.gz	P-MTAB-75114	P-MTAB-75113	3655sTS.Human.Testis.10w.Male.sorted.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6814/E-MTAB-6814.3655sTS.Human.Testis.10w.Male.sorted.bam	P-MTAB-75114	P-MTAB-75113	Human.CPM.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6814/E-MTAB-6814.processed.2.zip	P-MTAB-75114	P-MTAB-75113	Human.RPKM.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6814/E-MTAB-6814.processed.1.zip	10 week post conception	testis
3777sTS.Human.Heart.10w.Male	ERS2510160	SAMEA4689976	Homo sapiens	normal	10 week post conception	11950	10	week	male	heart	organism part	P-MTAB-75109	P-MTAB-75110	P-MTAB-75111	3777sTS.Human.Heart.10w.Male	RNA	SINGLE	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-75112	Lausanne Genomics Technology Facility	3777sTS.Human.Heart.10w.Male	sequencing assay	ERX2614335	3777sTS.Human.Heart.10w.Male.fastq.gz	3777sTS.Human.Heart.10w.Male.fastq.gz	ERR2598054	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/004/ERR2598054/ERR2598054.fastq.gz	P-MTAB-75114	P-MTAB-75113	3777sTS.Human.Heart.10w.Male.sorted.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6814/E-MTAB-6814.3777sTS.Human.Heart.10w.Male.sorted.bam	P-MTAB-75114	P-MTAB-75113	Human.CPM.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6814/E-MTAB-6814.processed.2.zip	P-MTAB-75114	P-MTAB-75113	Human.RPKM.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6814/E-MTAB-6814.processed.1.zip	10 week post conception	heart
